"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3127","login with invalid credentials","webkit","Fri Apr 04 12:41:06 GMT 2025","passed","Fri Apr 04 12:41:09 GMT 2025","Login tests","specs/login.spec.ts","",""
"","1026","login with valid credentials","chromium","Fri Apr 04 12:43:53 GMT 2025","failed","Fri Apr 04 12:43:54 GMT 2025","Login tests","specs/login.spec.ts","",""
"","30755","Add new employee with valid data and with login detalis","chromium","Fri Apr 04 12:43:17 GMT 2025","failed","Fri Apr 04 12:43:48 GMT 2025","Add employee tests","specs/addEmployee.spec.ts","",""
"","2565","login with empty fields","webkit","Fri Apr 04 12:41:03 GMT 2025","passed","Fri Apr 04 12:41:05 GMT 2025","Login tests","specs/login.spec.ts","",""
"","30795","Add new employee with valid data and not create login detalis","webkit","Fri Apr 04 12:41:42 GMT 2025","failed","Fri Apr 04 12:42:13 GMT 2025","Add employee tests","specs/addEmployee.spec.ts","",""
"","1686","login with invalid credentials","firefox","Fri Apr 04 12:40:34 GMT 2025","passed","Fri Apr 04 12:40:36 GMT 2025","Login tests","specs/login.spec.ts","",""
"","1665","login with valid credentials","firefox","Fri Apr 04 12:44:09 GMT 2025","failed","Fri Apr 04 12:44:11 GMT 2025","Login tests","specs/login.spec.ts","",""
"","30767","Add new employee with valid data and not create login detalis","chromium","Fri Apr 04 12:41:42 GMT 2025","failed","Fri Apr 04 12:42:13 GMT 2025","Add employee tests","specs/addEmployee.spec.ts","",""
"","31600","Add new employee with valid data and with login detalis","firefox","Fri Apr 04 12:43:29 GMT 2025","failed","Fri Apr 04 12:44:01 GMT 2025","Add employee tests","specs/addEmployee.spec.ts","",""
"","31492","Add new employee with valid data and not create login detalis","firefox","Fri Apr 04 12:41:49 GMT 2025","failed","Fri Apr 04 12:42:21 GMT 2025","Add employee tests","specs/addEmployee.spec.ts","",""
"","30680","Add new employee with valid data and with login detalis","webkit","Fri Apr 04 12:43:17 GMT 2025","failed","Fri Apr 04 12:43:48 GMT 2025","Add employee tests","specs/addEmployee.spec.ts","",""
"","1865","login with empty fields","firefox","Fri Apr 04 12:40:32 GMT 2025","passed","Fri Apr 04 12:40:34 GMT 2025","Login tests","specs/login.spec.ts","",""
"","1748","login with invalid credentials","chromium","Fri Apr 04 12:40:37 GMT 2025","passed","Fri Apr 04 12:40:39 GMT 2025","Login tests","specs/login.spec.ts","",""
"","1381","login with empty fields","chromium","Fri Apr 04 12:43:55 GMT 2025","passed","Fri Apr 04 12:43:57 GMT 2025","Login tests","specs/login.spec.ts","",""
"","2045","login with valid credentials","webkit","Fri Apr 04 12:41:00 GMT 2025","failed","Fri Apr 04 12:41:02 GMT 2025","Login tests","specs/login.spec.ts","",""
